Data,Altezza Marea (m)
2024-02-20 12:00:00,0.034
2024-02-20 12:30:00,0.041
2024-02-20 13:00:00,0.043
2024-02-20 13:30:00,0.042
2024-02-20 14:00:00,0.038
2024-02-20 14:30:00,0.03
2024-02-20 15:00:00,0.02
2024-02-20 15:30:00,0.008
2024-02-20 16:00:00,-0.005
2024-02-20 16:30:00,-0.018
2024-02-20 17:00:00,-0.03
2024-02-20 17:30:00,-0.04
2024-02-20 18:00:00,-0.047
2024-02-20 18:30:00,-0.051
2024-02-20 19:00:00,-0.051
2024-02-20 19:30:00,-0.047
2024-02-20 20:00:00,-0.04
2024-02-20 20:30:00,-0.029
2024-02-20 21:00:00,-0.015
2024-02-20 21:30:00,0.001
2024-02-20 22:00:00,0.019
2024-02-20 22:30:00,0.037
2024-02-20 23:00:00,0.054
2024-02-20 23:30:00,0.069
2024-02-21 00:00:00,0.081
2024-02-21 00:30:00,0.089
2024-02-21 01:00:00,0.092
2024-02-21 01:30:00,0.09
2024-02-21 02:00:00,0.083
2024-02-21 02:30:00,0.072
2024-02-21 03:00:00,0.058
2024-02-21 03:30:00,0.04
2024-02-21 04:00:00,0.02
2024-02-21 04:30:00,0.0
2024-02-21 05:00:00,-0.02
2024-02-21 05:30:00,-0.039
2024-02-21 06:00:00,-0.055
2024-02-21 06:30:00,-0.067
2024-02-21 07:00:00,-0.075
2024-02-21 07:30:00,-0.078
2024-02-21 08:00:00,-0.077
2024-02-21 08:30:00,-0.072
2024-02-21 09:00:00,-0.062
2024-02-21 09:30:00,-0.049
2024-02-21 10:00:00,-0.034
2024-02-21 10:30:00,-0.017
2024-02-21 11:00:00,0.002
2024-02-21 11:30:00,0.019
2024-02-21 12:00:00,0.034
2024-02-21 12:30:00,0.046
2024-02-21 13:00:00,0.054
2024-02-21 13:30:00,0.057
2024-02-21 14:00:00,0.055
2024-02-21 14:30:00,0.049
2024-02-21 15:00:00,0.038
2024-02-21 15:30:00,0.025
2024-02-21 16:00:00,0.01
2024-02-21 16:30:00,-0.007
2024-02-21 17:00:00,-0.023
2024-02-21 17:30:00,-0.039
2024-02-21 18:00:00,-0.051
2024-02-21 18:30:00,-0.06
2024-02-21 19:00:00,-0.065
2024-02-21 19:30:00,-0.066
2024-02-21 20:00:00,-0.061
2024-02-21 20:30:00,-0.052
2024-02-21 21:00:00,-0.04
2024-02-21 21:30:00,-0.023
2024-02-21 22:00:00,-0.005
2024-02-21 22:30:00,0.016
2024-02-21 23:00:00,0.037
2024-02-21 23:30:00,0.057
2024-02-22 00:00:00,0.075
2024-02-22 00:30:00,0.09
2024-02-22 01:00:00,0.099
2024-02-22 01:30:00,0.103
2024-02-22 02:00:00,0.1
2024-02-22 02:30:00,0.092
2024-02-22 03:00:00,0.079
2024-02-22 03:30:00,0.061
2024-02-22 04:00:00,0.04
2024-02-22 04:30:00,0.018
2024-02-22 05:00:00,-0.006
2024-02-22 05:30:00,-0.029
2024-02-22 06:00:00,-0.049
2024-02-22 06:30:00,-0.067
2024-02-22 07:00:00,-0.08
2024-02-22 07:30:00,-0.088
2024-02-22 08:00:00,-0.09
2024-02-22 08:30:00,-0.088
2024-02-22 09:00:00,-0.08
2024-02-22 09:30:00,-0.069
2024-02-22 10:00:00,-0.053
2024-02-22 10:30:00,-0.035
2024-02-22 11:00:00,-0.015
2024-02-22 11:30:00,0.006
2024-02-22 12:00:00,0.026
